fcn_no,effective_date,effective_year,substance,manufacturer
2291,"Jul 25, 2023",2023,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No.2809-21-4), and optionally sulfuric acid (SA) (CAS Reg. No. 7664-93-9). REPLACES FCNs 887, 1132, 1738, and 1806","Enviro Tech Chemical Services, Inc."
2290,"Jul 22, 2023",2023,"1,2-Bis(3,5-di-tert-butyl-4-hydroxyhydrocinnamoyl)hydrazine (CAS Reg. No. 32687-78-8)",Rianlon Corporation
2289,"Jul 1, 2023",2023,Glycidyl methacrylate (CAS Reg. No. 106-91-2),"PPG Industries, Inc."
2288,"Jun 22, 2023",2023,"Hexanedioic acid, polymer with hexahydro-2H-azepin-2-one and 1,6-hexanediamine (CAS Reg. No. 24993-04-2).","UBE Corporation UBE Corporation Europe, S.A.U. UBE Chemicals (ASIA) Public Company Limited"
2287,"Aug 4, 2023",2023,Ethylene propylene copolymer (CAS Reg. No. 9010-79-1),Exxon Mobil Corporation
2285,"Jul 27, 2023",2023,"2,5-Furandione, dihydro-, mono-C15-20-alkenyl derivs. (CAS Reg. No. 68784-12-3).",Omya International AG and its affiliates
2283,"May 23, 2023",2023,"2,5-dihydropyrrolo[3,4-c]pyrrole-1,4-dione, 3,6-bis[3-chloro-5-(octadecylthio)phenyl) and 4-chloro-phenyl] derivatives (CAS Reg. No. 2142611-43-4).","CINIC Chemicals America, LLC"
2282,"May 20, 2023",2023,Pyrophyllite (CAS Reg. No. 12269-78-2).,Trinity Resources Ltd. Trinity Performance Minerals
2281,"May 3, 2023",2023,"Butanoic acid, 3-hydroxy-, (3R)-, polymer with 4-hydroxybutanoic acid (CAS Reg. No. 125495-90-1), containing from 25 to 35 weight percent 4-hydroxybutanoic acid.",CJ CheilJedang Corporation
2280,"Jun 28, 2023",2023,"Bis(2,4,4-trimethylpentyl)phosphinic acid-modified titanium dioxide (produced by chemically reacting bis(2,4,4-trimethylpentyl)phosphinic acid (bis) with titanium dioxide to achieve a treatment level of up to 0.6% bis by weight of the pigment).",Tronox Holdings plc
2279,"Jun 17, 2023",2023,n-Octyl phosphonic acid (NOPA)-modified titanium dioxide (produced by chemically reacting NOPA (CAS Reg. No.4724-48-5) with titanium dioxide to achieve a treatment level of 0.85% by weight of NOPA on the pigment),Cinkarna Celje
2278,"Apr 13, 2023",2023,"2-Methyl-4,6-bis[(octylthio)methyl]phenol (CAS Reg. No. 110553-27-0).",BASF
2277,"Apr 13, 2023",2023,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis(5-((4-(bis(2-hydroxyethyl)amino)-6-((4-sulfophenyl)amino)-1,3,5-triazin-2-yl)amino)-, tetrasodium salt (CAS Reg. No. 16470-24-9).","Hebei Sanchuan Chemical Co., Ltd."
2276,,,REPLACED BY FCN 2422,
2274,"Apr 7, 2023",2023,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), optionally, sulfuric acid (CAS Reg. No. 7664-93-9), and optionally, 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4) and/or optionally dipicolinic acid (DPA) (CAS Reg. No. 499-83-2). REPLACES FCNS 1872, 1897, and 2070",Hydrite Chemical Co.
2272,"Mar 3, 2023",2023,Poly[(butylenesuccinate)-co-adipate] cross-linked with malic acid. REPLACES FCN 1818,PTT MCC Biochem Company Limited
2271,"Mar 2, 2023",2023,"Poly(1,4-butylene glycol-co-succinic acid), cross-linked with malic acid. REPLACES FCN 1817",PTT MCC Biochem Company Limited
2270,"May 13, 2023",2023,"2-[4,6-bis(2,4-dimethylphenyl)-1,3,5-triazin-2-yl]-5-(octyloxy)phenol (CAS Reg. No. 2725-22-6).",Rianlon Corporation
2268,"Feb 14, 2023",2023,"Copolymer of 2-propenoic acid, 2-hydroxyethyl ester 1,1-dichloroethene, methyl 2-propenoate, and 2-propenenitrile (CAS Reg. No. 245118-21-2).",Unitika Ltd. Asahi Kasei Corporation
2267,"Feb 10, 2023",2023,"2-Propenoic acid, polymer with 2,5-furandione, sodium salt (CAS Reg. No. 52255-49-9).",Omya International AG and its Affiliates
2266,"Feb 8, 2023",2023,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4) and/or dipicolinic acid (DPA) (CAS Reg. No. 499-83-2), and optionally sulfuric acid (CAS Reg. No. 7664-93-9). REPLACES FCNs 2011 and 1986",Safe Foods Chemical Innovations and LPR Technologies
2265,"Apr 20, 2023",2023,"Polyurethane resin produced by reacting 2,4-toluene diisocyanate (TDI; CAS Reg. No. 584-84-9) with polyoxyethylene-polyoxypropylene glyceryl ether (CAS Reg. No. 9082-00-2).",FabriRes - Produtos Quimicos S.A.
2264,"Mar 31, 2023",2023,"Tricyclodecanedimethanol (TCDM, CAS Reg. Nos. 26896-48-0 and 26160-83-8).",Allnex Austria GmbH and its stewarded affiliates around the world
2263,"Mar 22, 2023",2023,Polylactide (Polylactic acid; PLA) optionally containing up to 15 weight percent D-lactic acid polymer units (CAS Reg. No. 9051-89-2).,"Anhui BBCA Biochemical & Futerro PLA CO., LTD."
2262,"Jan 25, 2023",2023,Hypochlorous acid (CAS Reg. No. 7790-92-3).,Seriously Clean Ltd.
2261,"Jan 18, 2023",2023,Aluminum oxide (CAS Reg. No. 1344-28-1).,Susonity LLC
2259,"Dec 21, 2022",2022,"Oxirane, 2-methyl-, polymer with oxirane, ether with 1,2,3-propanetriol (3:1), polymer with 1,3-diisocyanato-2-methylbenzene and 2,4-diisocyanato-1-methylbenzene (CAS Reg. No. 68227-13-4).",Diam Bouchage SAS
2258,"Feb 17, 2023",2023,"Copolyesters of terephthalic acid with ethylene glycol, neopentyl glycol, 1,4-cyclohexanedimethanol, and diethylene glycol (CAS Reg. No. 208755-39-9).",Eastman Chemical Company
2255,"Feb 9, 2023",2023,"Copolymer of 1,3-benzenedicarboxylic acid, azacyclotridecan-2-one, 1,4-benzenedicarboxylic acid, dodecanedioic acid, and 4,4'-methylenebis[2-methylcyclohexanamine] (CAS Reg. No. 2080394-29-0).","EMS-CHEMIE AG, Business Unit EMS-GRIVORY Europe"
2254,,,REPLACED BY FCN 2298,
2253,"Jan 29, 2023",2023,"Ethanaminium, N,N,N- trimethyl-2-[(1-oxo-2-propen-1-yl)oxy]-, chloride (1:1), polymer with 2-propenamide (CAS Reg. No. 69418-26-4) modified with up to 2.0 % by weight of propenoic acid (CAS Reg. No. 79-10-7).","Nalco Water, An Ecolab Company"
2252,"Nov 26, 2022",2022,Titanium nitride (CAS Reg. No. 25583-20-4). REPLACES FCN 818,Avient Corporation and its stewarded global affiliates
2251,"Jan 24, 2023",2023,Ethylene/octene copolymers containing up to 30 weight percent polymer units derived from 1-octene (CAS Reg. No. 26221-73-8).,NOVA Chemicals Corporation
2249,"Nov 24, 2022",2022,"Industrial starch modified by treatment with greater than 5 percent and not more than 21 percent 2,3-epoxypropyltrimethylammonium chloride (CAS Reg. No. 56780-58-6).","Guangxi State Farms Mingyang Starch Development Co., Ltd."
2248,"Jan 19, 2023",2023,"Naphthalenesulfonic acid, C8-C10, C9-rich alkylderivatives, calcium salts, primarily calcium bis(di C8-C10, branched, C9 rich, alkylnaphthalenesulphonate) (CAS Reg. No. 1474044-79-5).","King Industries, Inc."
2247,"Jan 25, 2023",2023,"2-Propenoic acid, 2-methyl-, 1,1-(1,2-ethanediyl) ester, polymer with phenylmethyl 2-methyl-2-propenoate (CAS Reg. No. 126969-53-7).","Amano Enzyme U.S.A. Co., Ltd."
2246,"Oct 27, 2022",2022,"Quino[2,3-b]acridine-7,14-dione, 5,12-dihydro-2,9-dimethyl-, also known as 2,9-dimethylquinacridone and C.I. Pigment Red 122 (CAS Reg. No. 980-26-7).",Shandong Huabao Pigment Co. Ltd.
2245,"Dec 9, 2022",2022,A hydrogen peroxide solution (CAS Reg. No. 7722-84-1).,"Perfect Day, Inc."
2244,"Oct 7, 2022",2022,"Oleic acid, mono ester with oxybis(propanediol) (CAS Reg. No. 49553-76-6).",Palsgaard A/S
2243,"Oct 4, 2022",2022,Pentaerythritol (CAS Reg. No. 115-77-5). REPLACES FCN 2069,Kaneka North America
2242,"Sep 28, 2022",2022,"An aqueous mixture of peroxycitric acid (PCA) (CAS Reg. No. 127542-89-6), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), citric acid (CAS Reg. No. 77-92-9), lactic acid (CAS Reg. No. 50-21-5), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally sulfuric acid (CAS Reg. No. 7664-93-9).","Evonik Active Oxygens, LLC"
2241,"Nov 23, 2022",2022,"Rice bran wax, oxidized (CAS Reg. No. 1883583-80-9) and its calcium salt (CAS Reg. No. 1850357-57-1) or sodium salt (CAS Reg. No. 2759532-87-9).",Clariant Corporation
2238,"Sep 16, 2022",2022,"A copolyester made from dimethyl terephthalate (DMT), ethylene glycol (EG), and 2,2,4,4-tetramethyl-1,3-cyclobutanediol (TMCD) (CAS Reg. No. 185625-67-6). REPLACES FCN 1878",Eastman Chemical Company
2236,"Nov 16, 2022",2022,"An aqueous mixture of peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally, octanoic acid (CAS Reg. No. 124-07-2) and peroxyoctanoic acid (CAS Reg. No. 33734-57-5).",LPR Technologies & Safe Foods Corporation
2235,"Sep 3, 2022",2022,Glass-based pearlescent pigments.,Susonity LLC
2233,"Aug 26, 2022",2022,"2(3H)-Benzofuranone, 5,7-bis(1,1-dimethylethyl)-3-[3,5-dimethyl-4-[[2,4,8,10-tetrakis(1,1-dimethylethyl)-12-methyl-12H-dibenzo[d,g][1,3,2]dioxaphosphocin-6-yl]oxy]phenyl]- (CAS Reg. No. 1803088-15-4).",BASF Corporation
2231,"Aug 19, 2022",2022,"Dipentaerythritol, hexaesters with 3,5,5-trimethylhexanoic, decanoic, heptanoic, and octanoic acids (CAS Reg. No. 2640167-40-2).",Nyco
2230,"Jul 29, 2022",2022,Pentaerythritol (CAS Reg. No. 115-77-5). REPLACES FCN 2116,Danimer Holding LLC
2228,"Jul 14, 2022",2022,"Cross-linked 2-propenoic acid, homopolymer, sodium salt (CAS Reg. No. 9003-04-7).",Novipax
2224,"Jun 28, 2022",2022,"An aqueous mixture containing peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (CAS Reg. No. 2809-21-4), and, optionally, sulfuric acid (CAS Reg. No. 7664-93-9).",AFCO
2223,"Jun 23, 2022",2022,"A reactive mixture of ethylene acrylic acid copolymer (EAA; CAS Reg. No. 9010-77-9) and N,N,N',N'-tetrakis(2-hydroxypropyl)adipamide (HAA; CAS Reg. No. 57843-53-5).",Akzo Nobel Coatings Inc.
2222,"Jun 11, 2022",2022,"Lignosulfonic acid, sodium salt (CAS Reg. No. 8061-51-6).",CHEP USA
2221,"Jun 8, 2022",2022,"Styrene block polymer with 1,3-butadiene, hydrogenated (CAS Reg. No. 66070-58-4), as further described in your submission.","Kuraray GC Advanced Materials Co., Ltd. Kuraray Co., Ltd. Kuraray America, Inc. Kuraray Europe GmbH"
2220,"Jun 7, 2022",2022,"Copolymer of styrene (CAS Reg. No. 100-42-5), α-methylstyrene (CAS Reg. No. 98-83-9), methacrylic acid (CAS Reg. No. 79-41-4), n-butyl acrylate (CAS Reg. No. 141-32-2), methyl methacrylate (CAS Reg. No. 80-62-6), and, optionally, acrylic acid (CAS Reg. No. 79-10-7) and/or α-methylstyrene dimer (CAS Reg. No. 6362-80-7).","Harima Chemicals, Inc., Plasmine Technology, Inc."
2219,"May 25, 2022",2022,"β3,β3,β9,β9-Tetramethyl-2,4,8,10-tetraoxaspiro[5.5]undecane-3,9-diethanol (CAS Reg. No. 1455-42-1).",The Sherwin-Williams Company
2217,"Jul 6, 2022",2022,Poly-1-butene homopolymer (CAS Reg. No. 9003-28-5).,LyondellBasell Industries
2216,"Jul 5, 2022",2022,Ethylene/1-butene copolymer (CAS Reg. No. 25087-34-7).,The Dow Chemical Company
2214,"Jun 24, 2022",2022,"Hydrogenated castor oil monoglycerides, acetylated (CAS Reg. No. 736150-63-3). REPLACES FCN 2047",International N&H Denmark ApS
2213,"Jun 24, 2022",2022,"Oleic acid, mono ester with oxybis(propanediol) (CAS Reg. No. 49553-76-6). REPLACES FCN 2037",International N&H Denmark ApS
2212,"Apr 26, 2022",2022,Tin antimony gray cassiterite (CAS Reg. No. 68187-54-2 and CAS Reg. No. 12673-86-8).,Susonity LLC
2211,"Apr 8, 2022",2022,Calcium tert -butylphosphonate (CAS Reg. No. 81607-35-4).,"Milliken Chemical, Division of Milliken & Co."
2210,"Apr 6, 2022",2022,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and/or dipicolinic acid (DPA) (CAS Reg. No. 499-83-2), and optionally sulfuric acid (CAS Reg. No. 7664-93-9).",Hydrite Chemical Co.
2209,"Mar 24, 2022",2022,"Butanedioic acid, hydroxy-, polymer with butanedioic acid, 1,4-butanediol and 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (CAS Reg. No. 864132-20-7), optionally reacted with 1,6-diisocyanatohexane (CAS Reg. No. 822-06-0).","Chang Chun Plastics Company, Ltd."
2207,"Mar 17, 2022",2022,"1-Decene, homopolymer, hydrogenated (CAS Reg. No. 68037-01-4).",BYK-Chemie GmbH
2206,"Mar 12, 2022",2022,Chromium iron oxide (C.I. Pigment Brown 29; CAS Reg. No. 109414-04-2 and CAS Reg. No. 12737-27-8).,The Shepherd Color Company
2205,"May 20, 2022",2022,"Naphtha (petroleum), light steam-cracked aromatic, piperylene concentrate, polymerized (CAS Reg. No. 68478-07-9).",ExxonMobil Product Solutions Company
2204,"May 12, 2022",2022,"Phosphorous acid, cyclic neopentanetetrayl bis(2,6-di-tert-butyl-4-methylphenyl) ester (CAS Reg. No. 80693-00-1).",ADEKA Corporation
2201,"Mar 2, 2022",2022,Glycidyl methacrylate (CAS Reg. No. 106-91-2).,Akzo Nobel Coatings Inc.
2200,"Feb 25, 2022",2022,Ethylene propylene copolymer (CAS Reg. No. 9010-79-1).,ExxonMobil Product Solutions Company
2199,"Feb 25, 2022",2022,Ethylene propylene copolymer (CAS Reg. No. 9010-79-1).,ExxonMobil Product Solutions Company
2198,"Apr 28, 2022",2022,Hypochlorous acid (CAS Reg. No. 7790-92-3).,"Bioionix, Inc."
2197,"Feb 19, 2022",2022,"N,N'-dioleoylethylenediamine (CAS. Reg. No. 110-31-6).",SK Functional Polymer S.A.S.
2195,"Apr 9, 2022",2022,Amorphous silicon dioxide coating (SiO x C y H z ) made using plasma-enhanced chemical vapor-deposition of hexamethyldisiloxane.,"Comotomo, Inc."
2194,"Apr 6, 2022",2022,"1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-, sodium salt (1:1), polymer with 2-propenamide, reaction products with glyoxal (CAS Reg. No. 2614959-08-7).",SNF SA SNF Inc.
2191,,,REPLACED BY FCN 2354,
2188,"Apr 5, 2022",2022,Hypochlorous acid (CAS Reg. No. 7790-92-3).,Clarentis Technologies LLC
2187,"Jan 22, 2022",2022,"1,2-Bis(3,5-di-tert-butyl-4-hydroxyhydrocinnamoyl)hydrazine (CAS Reg. No. 32687-78-8).","Songwon Industrial Co., Ltd."
2186,,,REPLACED BY FCN 2316,
2184,"Mar 15, 2022",2022,"Siloxane and Silicones, di-Me, Me hydrogen polymers with di-Me, Me vinyl siloxanes, 1,1’-(1-methylethylidene)bis[4-(2-propen-1-yloxy)benzene]-2,4,6,8-tetramethylcyclotetrasiloxane reaction products, vinyl group-terminated di-Me siloxanes and hydrogen-terminated di-Me siloxanes.","Shin-Etsu Chemical Co., Ltd."
2183,"Mar 10, 2022",2022,Bis(4-tert-butylbenzoate-O)hydroxyl aluminum (CAS. Reg. No. 13170-05-3).,"Shandong Rainwell New Materials Technology Company, Ltd."
2181,"Mar 23, 2022",2022,"1,3-Benzenedicarboxylic acid, polymer with 1,3-benzenedimethanamine and hexanedioic acid (CAS Reg. No. 28628-75-3).","Mitsubishi Gas Chemical Co., Inc."
2180,"Dec 18, 2021",2021,"Methacrylic acid, polymer with cyclohexyl methacrylate, 2-ethylhexyl acrylate, itaconic acid, acrylamide tert-butylsulfonic acid, acrylamide, and acrylic acid, sodium salt.",SEIKO PMC Corporation
2178,"Oct 13, 2021",2021,"1,4-Benzenedicarboxylic acid, polymer with 1,2-ethanediol and octahydro-4,7-methano-1H-indene5,?-dimethanol (CAS Reg. No. 106127-84-8), optionally cross-linked with ≤0.15 wt.-% glycerin.","Chang Chun Plastics Co., Ltd."
2176,"Dec 7, 2021",2021,"Phenol, 4,4’-sulfonylbis-, polymer with 1,1’-sulfonylbis(4-chlorobenzene) (CAS Reg. No. 25667-42-9 and 25608-63-3).","Sumitomo Chemical Co., Ltd."
2174,"Nov 30, 2021",2021,"Cross-linked 2-propenoic acid, homopolymer, sodium salt (CAS Reg. No. 9003-04-7).",Pactiv LLC
2173,"Jan 15, 2022",2022,"Quino[2,3-b]acridine-7,14-dione,5,12-dihydro-2,9-dimethyl-, also known as dimethylquinacridone and C.I. Pigment Red 122 (CAS Reg. No. 980-26-7).",DIC Corporation
2171,"Dec 23, 2021",2021,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), dipicolinic acid (DPA) (CAS Reg. No. 499-83-2), and optionally sulfuric acid (SA) (CAS Reg. No. 7664-93-9).","Evonik Active Oxygens, LLC"
2169,"Oct 26, 2021",2021,"1,6-hexanediol (CAS Reg. No. 629-11-8).",National Coatings LLC
2168,"Oct 19, 2021",2021,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg No 79-21-0), hydrogen peroxide (HP) (CAS Reg No 7722-84-1), acetic acid (CAS Reg No 64-19-7), dipicolinic acid (DPA) (CAS Reg No 499-83-2), and optionally sulfuric acid (CAS Reg No 7664-93-9).","Enviro Tech Chemical Services, Inc."
2165,"Oct 8, 2021",2021,An aqueous solution of hydrogen peroxide (CAS Reg. No. 7722-84-1).,"Cargill, Inc."
2164,"Oct 6, 2021",2021,"Niobium-doped titanium dioxide, coated with calcium titanate",Susonity LLC
2162,"Dec 11, 2021",2021,"Styrene block polymer with 1,3-butadiene, hydrogenated (CAS Reg. No. 66070-58-4) as further described in your submission.","Kuraray Co., Ltd. Kuraray America, Inc. Kuraray Europe GmbH Kuraray GC Advanced Materials Co., Ltd."
2161,,,REPLACED BY FCN 2297,
2160,"Sep 18, 2021",2021,"2-propenoic acid, polymer with sodium phosphinate (1:1), neutralized with calcium and sodium (CAS Reg. No. 2144395-83-3).",BASF
2159,"Nov 12, 2021",2021,"[1,1-Biphenyl]-4,4-diol, polymer with 1,1-sulfonylbis[4-chlorobenzene] (CAS Reg. No. 25608-64-4 and 25839-81-0).","Chang Chun Plastics Co., Ltd."
2158,"Sep 14, 2021",2021,"Quino[2,3-b]acridine-7,14-dione, 5,12-dihydro-2,9-dimethyl-, also known as 2,9-dimethylquinacridone and C.I. Pigment Red 122 (CAS Reg. No. 980-26-7).","Trust Chem Co., Ltd."
2157,"Sep 10, 2021",2021,"Decanedioic acid, polymer with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, isooctadecanoate (CAS Reg. No. 2294927-19-6).",OLEON NV
2156,"Nov 6, 2021",2021,"Copolymer of acrylonitrile, methacrylonitrile, methyl methacrylate, methacrylic acid, and trimethylolpropane trimethacrylate (CAS Reg. No. 1173902-42-5).",Tapi S.p.A.
2154,"Nov 9, 2021",2021,"2-propenoic acid, polymer with sodium phosphinate (1:1), neutralized with sodium, calcium, and/or magnesium (including CAS Reg. No. 129898-01-7 (Na salt), CAS Reg. No. 935545-65-6 (Mg Na salt), and CAS Reg. No. 2144395-83-3 (Ca Na salt)).","SNF SA, SNF Inc."
2153,"Nov 17, 2021",2021,5-Chloro-2-methyl-4-isothiazolin-3-one (CIT; CAS Reg. No. 26172-55-4).,THOR GmbH
2149,"Sep 29, 2021",2021,"Alcohols, C16-18, ethoxylated (CAS Reg. No. 68439-49-6).",Cytec Industries Inc.
2148,"Jul 31, 2021",2021,Magnesium sodium fluoride silicate (CAS Reg. No. 56450-90-9).,"Topy Industries, Limited"
2147,"Sep 25, 2021",2021,"Styrene block polymer with 1,3-butadiene, hydrogenated (CAS Reg. No. 66070-58-4). REPLACES FCN 2063",TSRC Corporation
2142,"Jul 22, 2021",2021,"Copolymer of styrene (CAS Reg. No. 100-42-5), methyl methacrylate (CAS Reg. No. 80-62-6), and glycidyl methacrylate (CAS Reg. No. 106-91-2). REPLACES FCNs 853 AND 1109",BASF Corporation
2141,"Aug 21, 2021",2021,Poly(2-ethyl-2-oxazoline) (CAS Reg. No. 25805-17-8).,Solenis LLC
2139,"Jul 13, 2021",2021,Zinc pyrithione (CAS Reg. No. 13463-41-7) REPLACES FCN 2031,Symphony Environmental Technologies Plc
2138,"Jul 10, 2021",2021,"Polyethylene terephthalate copolyesters (diethylene glycol-isophthalate modified) prepared by the condensation of dimethyl terephthalate or terephthalic acid and ethylene glycol with one or more of the following: dimethyl isophthalate, isophthalic acid, and diethylene glycol.","M&G Polímeros México, S.A. de C.V."
2137,"Jul 7, 2021",2021,Chromium nitride.,IKEA of Sweden AB
2136,"Jul 6, 2021",2021,Polyethylene terephthalate-azelate copolyester resin (CAS Reg. No. 25609-72-7).,DuPont Teijin Films
2135,"Sep 4, 2021",2021,"1,4-butanediol-polytetramethylene glycol-dimethyl terephthalate block copolymer (CAS Reg. No. 106465-17-2), reaction products with maleic anhydride.",Mitsubishi Chemical Corporation
2133,"Jun 29, 2021",2021,Hypochlorous acid (CAS Reg. No. 7790-92-3).,"Cougar Creek Electrolysed Water, LLC"
2131,"Aug 21, 2021",2021,"Ethene, polymer with 2-propenenitrile and ethenylbenzene (CAS Reg. No. 106826-13-5), and methacrylic acid-2-[(tert-butylperoxycarbonyl)oxy]ethyl ester (CAS Reg. No. 41892-41-5), graft.",NOF Corporation
2130,"Jun 16, 2021",2021,"Acetic acid ethenyl ester, polymer with N-ethenylformamide, hydrolyzed, amine-containing (CAS Reg. No. 163879-68-3).","Sekisui Specialty Chemicals America, LLC"
2127,"Jun 5, 2021",2021,"Poly(tetramethylene terephthalate)(CAS Reg. No. 24968-12-5 and 26062-94-2) as manufactured from terephthalic acid and 1,4-butanediol.",Mitsubishi Chemical Corporation
2125,"Jun 1, 2021",2021,"1,6-Hexanediol (CAS Reg. No. 629-11-8).",Polynt Composites USA Inc.
2124,"May 15, 2021",2021,"Hexanedioic acid, polymer with 1,4-butanediol, 1,6-hexanediol, and 1,1-methylenebis[4-isocyanatobenzene] (CAS Reg. No. 30662-91-0).","COIM S.p.A., Italy"
2123,"May 15, 2021",2021,"Hexanedioic acid, polymer with 1,4-butanediol, 2,2-dimethyl-1,3-propanediol, and 1,1- methylenebis[4-isocyanatobenzene] (CAS Reg. No. 56815-45-3).","COIM S.p.A., Italy"
2122,"May 21, 2021",2021,Styrene-maleic anhydride copolymer (CAS Reg. No. 9011-13-6).,"Rock Paint Co., Ltd."
2121,"Jun 26, 2021",2021,Octyltriethoxysilane-modified titanium dioxide.,"Anhui Gold Star Titanium Dioxide (Group) Co., Ltd."
2120,"Jul 7, 2021",2021,"Paraffin waxes and hydrocarbon waxes, oxidized (CAS Reg. No. 68153-22-0).",Sasol Limited
2119,"Apr 27, 2021",2021,Tin (IV) oxide (CAS Reg. No. 18282-10-5). REPLACES FCN 431,Susonity LLC
